Correct	Eps	Cds	T
1	0.623515648762955	1	16.4383699893951
1	0.179851193326314	0	17.0119841098785
1	0.78233022233935	1	16.8637731075287
1	0.628202120356048	1	15.5939421653748
1	0.731075942710088	1	16.9430050849915
1	0.437651667206213	0	16.9079940319061
0	0.564289490457325	1	16.8008160591125
1	0.711697827597485	1	16.9691298007965
0	0.506605612904971	1	16.9452428817749
0	0.475508717353246	0	17.0030889511108
1	0.672059087759359	1	16.9485640525818
1	0.267164124944801	0	17.2942018508911
0	0.500311876075074	1	16.9784920215607
1	0.53747915496903	1	16.7307100296021
1	0.3518081852306	0	17.1295530796051
1	0.25899384841898	0	17.1508121490479
1	0.387373184804559	0	17.6270380020142
1	0.577670409956252	1	17.0993859767914
1	0.53675008193306	1	16.4068582057953
1	0.703587230714227	1	16.2621941566467
0	0.467008444599156	0	17.1586389541626
1	0.574953168889538	1	16.8742730617523
1	0.597419594994673	1	17.0312488079071
1	0.36023869877076	0	17.1110939979553
0	0.524149181234161	1	16.9385230541229
1	0.581831800880225	1	16.9056470394135
1	0.627180062129585	1	16.3514239788055
1	0.469124656583726	0	16.3954379558563
0	0.495736604201588	0	16.5687801837921
1	0.375171406378861	0	17.1500749588013
1	0.447484508002426	0	17.010418176651
0	0.473111780763168	0	17.1131248474121
1	0.726898050973348	1	16.8886940479279
1	0.681317442110439	1	16.1609869003296
0	0.403734396302328	0	16.2669060230255
0	0.511698484161287	1	17.077075958252
1	0.684586488647492	1	17.0769789218903
1	0.772330344146989	1	16.6293520927429
1	0.318831499088104	0	17.0052750110626
1	0.63260358016059	1	16.2556450366974
0	0.487430289850453	0	17.1812920570374
1	0.640644871965941	1	17.0289380550385
1	0.560132943614974	1	16.2255868911743
0	0.62328989437638	1	17.0259659290314
1	0.513163087270229	1	17.3237388134003
1	0.342276855239485	0	16.4632890224457
1	0.67017931343602	1	16.9498088359833
1	0.561648627256632	1	17.1690559387207
1	0.389764757469403	0	16.9465620517731
1	0.489119168916452	0	17.0832989215851
1	0.298336283833737	0	17.2701079845428
1	0.317320576215327	0	17.361526966095
1	0.62917946467657	1	16.6641139984131
1	0.513412795005947	1	17.5931720733643
0	0.577878310514909	1	16.6333658695221
1	0.395847415040567	0	16.997172832489
1	0.617629155412703	1	17.2147300243378
1	0.402230674562534	0	16.8114459514618
1	0.486845895146935	0	16.9654338359833
1	0.245922604880865	0	16.8145020008087
1	0.459159264895248	0	16.7811460494995
1	0.299360105043206	0	16.4146449565887
1	0.342539046255725	0	17.3101789951324
1	0.470810412999535	0	16.4713180065155
0	0.394681630121264	0	17.1755819320679
1	0.466370883645112	0	17.4712841510773
1	0.551595143799314	1	16.9309120178223
1	0.307991060087424	0	16.9060659408569
1	0.489562579767379	0	16.6397030353546
1	0.283262355940338	0	16.2892420291901
1	0.544939617585808	1	16.7766950130463
1	0.482886266372834	0	16.7974009513855
0	0.481477925722299	0	16.2394609451294
1	0.685762571472251	1	16.4786350727081
1	0.418920600671197	0	16.0641348361969
1	0.677061521787711	1	16.1803660392761
1	0.58366346140309	1	16.6279630661011
1	0.262154669111362	0	17.1796050071716
1	0.382126981831825	0	17.1039760112762
1	0.296528894105711	0	16.6316499710083
0	0.463863727741214	0	16.7236092090607
1	0.719438559281656	1	16.2564129829407
1	0.50044577408473	1	15.9640519618988
1	0.543072769461926	1	16.6010539531708
1	0.25850923965741	0	16.4174180030823
0	0.419524809512242	0	15.9769239425659
1	0.223330417806927	0	17.1508989334106
0	0.471652005330948	0	16.7894790172577
0	0.461641830029517	0	15.4284479618073
1	0.514920649402127	1	17.2441020011902
1	0.702769347206488	1	17.0954341888428
1	0.246499615455014	0	17.1410059928894
1	0.580036224223211	1	17.0628340244293
1	0.254501723229156	0	17.4295380115509
1	0.704737061418441	1	16.8609631061554
1	0.591399160290911	1	16.6385481357574
1	0.367415254451245	0	17.1495258808136
1	0.648856881074707	1	16.9799518585205
1	0.591316185069079	1	16.9289510250092
1	0.563886901064756	1	16.9579038619995
