Correct	Eps	Cds	T	DXY	DYX	PV
1	0.995435822674082	->	1.82338404655457	0.995435822674082	0.00456417732591796	0
1	0.514464653392595	->	1.59625101089478	0.514464653392595	0.485535346607405	0
1	0.584414344782761	->	1.62392091751099	0.584414344782761	0.415585655217239	0
1	0.691044500122894	->	1.63800406455994	0.691044500122894	0.308955499877106	0
1	0.964827294493162	->	19.5027809143066	0.964827294493162	0.0351727055068376	0
1	0.957217251400351	->	19.3961870670319	0.957217251400351	0.0427827485996493	0
1	0.970589725820604	->	17.6450321674347	0.970589725820604	0.0294102741793956	0
1	0.987836294718005	->	17.8983280658722	0.987836294718005	0.0121637052819954	0
1	0.864417435969161	->	18.468062877655	0.864417435969161	0.135582564030839	0
1	0.934003028722426	->	18.0031878948212	0.934003028722426	0.0659969712775735	0
1	0.965926936361233	->	17.6593911647797	0.965926936361233	0.0340730636387669	0
0	0.0253267282557486	<-	21.981262922287	0.0253267282557486	0.974673271744251	0
1	0.917547841696826	->	1.63886523246765	0.917547841696826	0.0824521583031741	0
1	0.817745034826457	->	1.62590193748474	0.817745034826457	0.182254965173543	0
1	0.989818398620523	->	1.80242800712585	0.989818398620523	0.0101816013794774	0
1	0.925567620616099	->	1.89593601226807	0.925567620616099	0.0744323793839008	0
0	0.00772276271163493	<-	22.7396509647369	0.00772276271163493	0.992277237288365	0
0	0.362013439385164	<-	1.30049204826355	0.362013439385164	0.637986560614836	0
0	0.0617576213765463	<-	0.81761908531189	0.0617576213765463	0.938242378623454	0
1	0.595390790832858	->	1.45313692092896	0.595390790832858	0.404609209167142	0
0	0.0066190782935779	<-	1.49149513244629	0.0066190782935779	0.993380921706422	0
1	0.653445419827189	->	1.91152000427246	0.653445419827189	0.346554580172811	0
1	0.51995172225567	->	1.9190309047699	0.51995172225567	0.48004827774433	0
1	0.560577417589972	->	1.87554407119751	0.560577417589972	0.439422582410028	0
1	0.860112001593163	->	4.28364396095276	0.860112001593163	0.139887998406837	0
1	0.820579863618638	->	4.30714797973633	0.820579863618638	0.179420136381362	0
1	0.767260419372537	->	4.2817370891571	0.767260419372537	0.232739580627463	0
1	0.570348794033886	->	4.30316805839539	0.570348794033886	0.429651205966114	0
0	0.246578201743794	<-	4.29805207252502	0.246578201743794	0.753421798256206	0
1	0.830732674099117	->	4.28099203109741	0.830732674099117	0.169267325900883	0
1	0.830915093167052	->	4.29716897010803	0.830915093167052	0.169084906832948	0
1	0.738202240791438	->	4.28640294075012	0.738202240791438	0.261797759208562	0
0	0.412576362545971	<-	1.4594931602478	0.412576362545971	0.587423637454029	0
0	0.142286758751101	<-	1.46706414222717	0.142286758751101	0.857713241248899	0
0	0.159065982680032	<-	1.44624996185303	0.159065982680032	0.840934017319968	0
0	0.24837031467228	<-	1.4621958732605	0.24837031467228	0.75162968532772	0
0	0.0919248020023794	<-	1.47582197189331	0.0919248020023794	0.908075197997621	0
1	0.613021102749369	->	3.6120719909668	0.613021102749369	0.386978897250631	0
0	0.0815260686488392	<-	1.83375096321106	0.0815260686488392	0.918473931351161	0
0	0.469229525295545	<-	3.07737708091736	0.469229525295545	0.530770474704455	0
0	0.262040828663949	<-	3.17905497550964	0.262040828663949	0.737959171336051	0
1	0.956078314914616	->	37.9540719985962	0.956078314914616	0.0439216850853843	0
1	0.502116490275687	->	42.5138261318207	0.502116490275687	0.497883509724313	0
1	0.505305154100565	->	44.4158129692078	0.505305154100565	0.494694845899435	0
1	0.507016330108397	->	43.8112761974335	0.507016330108397	0.492983669891603	0
0	0.484920317940387	<-	45.515878200531	0.484920317940387	0.515079682059613	0
0	0.99996898945604	->	1.06173515319824	0.99996898945604	3.10105439602637e-05	0
1	0.185705290001758	<-	0.713218212127686	0.185705290001758	0.814294709998242	0
0	0.781054192974578	->	1.52486991882324	0.781054192974578	0.218945807025422	0
0	0.757343890808558	->	1.53163504600525	0.757343890808558	0.242656109191442	0
0	0.664381310804054	->	1.53708386421204	0.664381310804054	0.335618689195946	0
1	0.298797489246499	<-	0.807882070541382	0.298797489246499	0.701202510753501	0
1	0.297519461407242	<-	0.82428503036499	0.297519461407242	0.702480538592758	0
1	0.295603320081863	<-	0.816729068756104	0.295603320081863	0.704396679918137	0
1	0.291541118712536	<-	0.793469905853271	0.291541118712536	0.708458881287464	0
1	0.286226158585238	<-	0.810689926147461	0.286226158585238	0.713773841414762	0
1	0.277539096793186	<-	0.814912080764771	0.277539096793186	0.722460903206814	0
