Correct	Eps	Cds	T	DXY	DYX	PV
1	0.995387190111065	->	1.68643307685852	0.995387190111065	0.00461280988893531	0
1	0.51451463522745	->	1.4853789806366	0.51451463522745	0.48548536477255	0
1	0.582645784546264	->	1.47575902938843	0.582645784546264	0.417354215453736	0
1	0.690763812452166	->	1.46919202804565	0.690763812452166	0.309236187547834	0
1	0.964620697539498	->	17.3730070590973	0.964620697539498	0.0353793024605016	0
1	0.957199647132328	->	17.9922299385071	0.957199647132328	0.0428003528676725	0
1	0.970468041808294	->	17.3624019622803	0.970468041808294	0.0295319581917062	0
1	0.987808736813406	->	17.3825659751892	0.987808736813406	0.0121912631865937	0
1	0.864872797485346	->	18.0784389972687	0.864872797485346	0.135127202514654	0
1	0.9343228009977	->	18.5894231796265	0.9343228009977	0.0656771990023002	0
1	0.966096542100824	->	17.9584178924561	0.966096542100824	0.0339034578991764	0
0	0.0250244306359287	<-	22.522922039032	0.0250244306359287	0.974975569364071	0
1	0.917706364231212	->	1.74662184715271	0.917706364231212	0.0822936357687876	0
1	0.818616440747963	->	1.86108899116516	0.818616440747963	0.181383559252037	0
1	0.989771420880487	->	1.87411999702454	0.989771420880487	0.0102285791195127	0
1	0.92545940099183	->	1.88712286949158	0.92545940099183	0.0745405990081702	0
0	0.0077998363557023	<-	22.7800850868225	0.0077998363557023	0.992200163644298	0
0	0.362088942555671	<-	1.41086602210999	0.362088942555671	0.637911057444329	0
0	0.0624064181620285	<-	0.830391883850098	0.0624064181620285	0.937593581837972	0
1	0.590393989674286	->	1.47116088867188	0.590393989674286	0.409606010325714	0
0	0.00670451411952824	<-	1.52499914169312	0.00670451411952824	0.993295485880472	0
1	0.653058757459722	->	2.12791299819946	0.653058757459722	0.346941242540278	0
1	0.51892012177619	->	2.10200095176697	0.51892012177619	0.48107987822381	0
1	0.559142340171791	->	2.13304686546326	0.559142340171791	0.440857659828209	0
1	0.859862633854253	->	4.6851270198822	0.859862633854253	0.140137366145747	0
1	0.816765931023133	->	4.48772478103638	0.816765931023133	0.183234068976867	0
1	0.759763828269245	->	4.69985222816467	0.759763828269245	0.240236171730755	0
1	0.572855321305797	->	4.56539011001587	0.572855321305797	0.427144678694203	0
0	0.244261859531234	<-	4.52889204025269	0.244261859531234	0.755738140468766	0
1	0.83063131219319	->	4.75556015968323	0.83063131219319	0.16936868780681	0
1	0.832054882949544	->	4.68084812164307	0.832054882949544	0.167945117050456	0
1	0.73977711081955	->	4.78851795196533	0.73977711081955	0.26022288918045	0
0	0.40705594486187	<-	1.60544300079346	0.40705594486187	0.59294405513813	0
0	0.140314311260311	<-	1.59463119506836	0.140314311260311	0.859685688739689	0
0	0.155676786974613	<-	1.60539293289185	0.155676786974613	0.844323213025387	0
0	0.242729118766758	<-	1.59531998634338	0.242729118766758	0.757270881233242	0
0	0.0903178801499046	<-	1.55599117279053	0.0903178801499046	0.909682119850095	0
1	0.609929400555426	->	3.58116292953491	0.609929400555426	0.390070599444574	0
0	0.0801794734831289	<-	1.847815990448	0.0801794734831289	0.919820526516871	0
0	0.465430991718533	<-	3.45380711555481	0.465430991718533	0.534569008281467	0
0	0.260880895425847	<-	3.41848683357239	0.260880895425847	0.739119104574153	0
1	0.954861203848309	->	42.0558149814606	0.954861203848309	0.0451387961516915	0
1	0.501737583786692	->	46.6448590755463	0.501737583786692	0.498262416213308	0
1	0.505188562995865	->	46.9363880157471	0.505188562995865	0.494811437004135	0
1	0.506326756183292	->	45.0762798786163	0.506326756183292	0.493673243816708	0
0	0.482509155757668	<-	47.0981709957123	0.482509155757668	0.517490844242332	0
0	0.999968557949669	->	1.26334404945374	0.999968557949669	3.14420503313428e-05	0
1	0.189712595636716	<-	0.723223209381104	0.189712595636716	0.810287404363284	0
0	0.781569768344395	->	1.52851104736328	0.781569768344395	0.218430231655605	0
0	0.758992776417365	->	1.52477407455444	0.758992776417365	0.241007223582635	0
0	0.667323019664893	->	1.49136018753052	0.667323019664893	0.332676980335107	0
1	0.299314661455042	<-	0.830440044403076	0.299314661455042	0.700685338544958	0
1	0.297027433700917	<-	0.809136867523193	0.297027433700917	0.702972566299083	0
1	0.295746944967831	<-	0.840430974960327	0.295746944967831	0.704253055032169	0
1	0.291173168087449	<-	0.806926012039185	0.291173168087449	0.708826831912551	0
1	0.284485843166761	<-	0.819655895233154	0.284485843166761	0.715514156833239	0
1	0.275787972295496	<-	0.809787034988403	0.275787972295496	0.724212027704504	0
1	0.271377021811726	<-	0.818892002105713	0.271377021811726	0.728622978188274	0
1	0.262292209087817	<-	0.809089183807373	0.262292209087817	0.737707790912183	0
0	0.313135538565636	<-	0.686662912368774	0.313135538565636	0.686864461434364	0
0	0.492584839668639	<-	5.62914896011353	0.492584839668639	0.507415160331361	0
0	0.497523911918954	<-	5.5759129524231	0.497523911918954	0.502476088081046	0
0	0.464781483325673	<-	5.54205298423767	0.464781483325673	0.535218516674328	0
0	0.999973986871135	->	2.12666916847229	0.999973986871135	2.60131288647436e-05	0
1	0.160477067610109	<-	73.4128019809723	0.160477067610109	0.839522932389891	0
1	0.930855779458607	->	20.7213640213013	0.930855779458607	0.0691442205413928	0
1	0.99073305721311	->	7.56352090835571	0.99073305721311	0.00926694278689022	0
1	0.00312281692738102	<-	23.6879270076752	0.00312281692738102	0.996877183072619	0
1	0.998864530075487	->	0.912615060806274	0.998864530075487	0.00113546992451319	0
1	0.00453762830799852	<-	0.964700937271118	0.00453762830799852	0.995462371692001	0
